ORGANIZATION_CODE,PERSON_NUMBER,DATE_FROM,DATE_TO,DURATION
2,X19a1,11-08-2017,11-08-2017,1
2,X19a1,11-09-2017,11-09-2017,1
2,X19a1,11-13-2017,11-13-2017,1
2,X1a11,10-27-2017,10-27-2017,1
2,X1a11,11-07-2017,11-07-2017,1
2,X1a11,11-15-2017,11-15-2017,1
2,X1a11,11-17-2017,11-17-2017,1
2,X1a11,11-16-2017,11-16-2017,1
2,X1a11,11-08-2017,11-08-2017,1
2,X1a11,11-01-2017,11-01-2017,0.5
2,X1a11,11-20-2017,11-20-2017,0.5
2,X1a19,10-26-2017,10-26-2017,1
2,X1a19,10-27-2017,10-27-2017,1
2,X1a19,10-30-2017,10-30-2017,1
2,X1a19,11-01-2017,11-01-2017,0.5
2,X1a19,11-17-2017,11-17-2017,0.5
2,X1a11,10-23-2017,10-23-2017,1
2,X1a11,10-24-2017,10-24-2017,1
2,X1a11,10-25-2017,10-25-2017,1
2,X1a11,10-26-2017,10-26-2017,1
2,X1a11,10-27-2017,10-27-2017,1
2,X1a11,10-30-2017,10-30-2017,1
2,X1a11,10-31-2017,10-31-2017,1
2,X1a11,11-01-2017,11-01-2017,1
2,X1a11,11-02-2017,11-02-2017,1
2,X1a11,11-03-2017,11-03-2017,1
2,X1a11,11-06-2017,11-06-2017,1
2,X1a11,11-07-2017,11-07-2017,1
2,X1a11,11-08-2017,11-08-2017,1
2,X1a11,11-09-2017,11-09-2017,1
2,X1a11,11-10-2017,11-10-2017,1
2,X1aa8,10-27-2017,10-27-2017,1
2,X1aa8,10-30-2017,10-30-2017,1
2,X1aa8,11-20-2017,11-20-2017,0.5
2,X1aaa,11-20-2017,11-20-2017,1
2,X1a1a,11-02-2017,11-02-2017,0.5
2,X1a11,11-02-2017,11-02-2017,0.5
2,X1a1a,11-01-2017,11-01-2017,1
2,X1a1a,11-02-2017,11-02-2017,1
2,X1a1a,11-03-2017,11-03-2017,1
2,X1a1a,11-06-2017,11-06-2017,1
2,X1a1a,11-07-2017,11-07-2017,1
2,X1a1a,11-08-2017,11-08-2017,1
2,X1a1a,11-09-2017,11-09-2017,1
2,X1a1a,11-10-2017,11-10-2017,1
2,X1a1a,11-13-2017,11-13-2017,1
2,X1a1a,11-14-2017,11-14-2017,1
2,X1a1a,11-15-2017,11-15-2017,1
2,X1a1a,11-16-2017,11-16-2017,1
2,X1a1a,11-17-2017,11-17-2017,1
2,X1a1a,11-20-2017,11-20-2017,1
2,X1a11,10-27-2017,10-27-2017,1
2,X1a11,11-02-2017,11-02-2017,1
2,X1a11,11-03-2017,11-03-2017,1
2,X1a11,11-06-2017,11-06-2017,1
2,X1a11,11-07-2017,11-07-2017,1
2,X1a11,11-08-2017,11-08-2017,1
2,X1a11,11-09-2017,11-09-2017,1
2,X1a11,11-10-2017,11-10-2017,1
2,X1a11,11-13-2017,11-13-2017,1
2,X1a11,11-08-2017,11-08-2017,0.5
2,X1a11,11-20-2017,11-20-2017,1
2,X1a18,10-27-2017,10-27-2017,1
2,X1a11,10-26-2017,10-26-2017,1
2,X1a11,10-30-2017,10-30-2017,0.5
2,X1a11,11-10-2017,11-10-2017,0.5
2,X1a11,10-30-2017,10-30-2017,0.5
2,X1a11,11-01-2017,11-01-2017,0.5
2,X1a81,11-09-2017,11-09-2017,1
2,X1a81,11-10-2017,11-10-2017,1
2,X1a81,11-16-2017,11-16-2017,1
2,X1a88,10-26-2017,10-26-2017,1
2,X1a88,10-27-2017,10-27-2017,1
2,X1a88,10-30-2017,10-30-2017,1
2,X1a88,10-31-2017,10-31-2017,1
2,X1a88,11-01-2017,11-01-2017,1
2,X1a88,11-02-2017,11-02-2017,1
2,X1a88,11-03-2017,11-03-2017,1
2,X1a88,11-06-2017,11-06-2017,1
2,X1a88,11-07-2017,11-07-2017,1
2,X1a88,11-08-2017,11-08-2017,1
2,X1a88,11-09-2017,11-09-2017,1
2,X1a88,11-10-2017,11-10-2017,1
2,X1a88,11-13-2017,11-13-2017,1
2,X1a88,11-14-2017,11-14-2017,1
2,X1a88,11-15-2017,11-15-2017,1
2,X1a88,11-16-2017,11-16-2017,1
2,X1a88,11-17-2017,11-17-2017,1
2,X1a88,11-20-2017,11-20-2017,1
2,X1aa1,11-03-2017,11-03-2017,0.5
2,X1aa1,11-17-2017,11-17-2017,1
2,X1aa9,11-15-2017,11-15-2017,0.5
2,X1aaa,11-03-2017,11-03-2017,1
2,X1111,11-01-2017,11-01-2017,1
2,X1111,11-10-2017,11-10-2017,1
2,X1111,10-24-2017,10-24-2017,0.5
2,X1111,10-27-2017,10-27-2017,0.5
2,X1111,10-31-2017,10-31-2017,0.5
2,X1111,11-03-2017,11-03-2017,0.5
2,X1111,11-14-2017,11-14-2017,0.5
2,X1111,11-15-2017,11-15-2017,1
2,X1111,11-16-2017,11-16-2017,0.5
2,X1111,11-17-2017,11-17-2017,1
2,X1111,11-20-2017,11-20-2017,0.5
2,X1111,10-23-2017,10-23-2017,1
2,X1111,10-24-2017,10-24-2017,1
2,X1111,10-25-2017,10-25-2017,1
2,X1111,10-26-2017,10-26-2017,1
2,X1111,10-27-2017,10-27-2017,1
2,X1111,10-30-2017,10-30-2017,1
2,X111a,10-23-2017,10-23-2017,1
2,X111a,10-25-2017,10-25-2017,1
2,X1119,10-26-2017,10-26-2017,0.5
2,X111a,10-26-2017,10-26-2017,1
2,X111a,10-30-2017,10-30-2017,0.5
2,X1111,11-02-2017,11-02-2017,0.5
2,X1118,11-08-2017,11-08-2017,0.5
2,X1118,11-13-2017,11-13-2017,1
2,X1118,11-14-2017,11-14-2017,1
2,X1118,11-15-2017,11-15-2017,1
2,X1118,11-16-2017,11-16-2017,1
2,X1118,11-17-2017,11-17-2017,1
2,X1118,11-20-2017,11-20-2017,1
2,X1181,10-30-2017,10-30-2017,1
2,X1191,11-03-2017,11-03-2017,0.5
2,X1198,10-30-2017,10-30-2017,1
2,X1198,10-31-2017,10-31-2017,1
2,X1198,11-01-2017,11-01-2017,1
2,X1198,11-02-2017,11-02-2017,1
2,X1198,11-03-2017,11-03-2017,1
2,X11a1,11-17-2017,11-17-2017,1
2,X11a1,11-20-2017,11-20-2017,1
2,X1111,11-03-2017,11-03-2017,1
2,X1118,11-13-2017,11-13-2017,1
2,X1118,11-14-2017,11-14-2017,1
2,X1118,11-15-2017,11-15-2017,1
2,X1118,11-16-2017,11-16-2017,1
2,X1118,11-17-2017,11-17-2017,1
2,X118a,10-23-2017,10-23-2017,1
2,X1191,10-23-2017,10-23-2017,1
2,X1191,10-24-2017,10-24-2017,1
2,X1191,10-25-2017,10-25-2017,1
2,X1191,10-26-2017,10-26-2017,1
2,X1191,10-27-2017,10-27-2017,1
2,X1191,10-30-2017,10-30-2017,1
2,X1191,10-31-2017,10-31-2017,1
2,X1191,11-01-2017,11-01-2017,1
2,X1191,11-02-2017,11-02-2017,1
2,X1191,11-03-2017,11-03-2017,1
2,X1191,11-06-2017,11-06-2017,1
2,X1191,11-07-2017,11-07-2017,1
2,X1191,11-08-2017,11-08-2017,1
2,X1191,11-09-2017,11-09-2017,1
2,X1191,11-10-2017,11-10-2017,1
2,X1191,11-20-2017,11-20-2017,1
2,X11aa,10-23-2017,10-23-2017,0.5
2,X11aa,10-25-2017,10-25-2017,0.5
2,X11a1,10-23-2017,10-23-2017,1
2,X11a1,10-24-2017,10-24-2017,1
2,X11a1,10-25-2017,10-25-2017,1
2,X11a1,10-26-2017,10-26-2017,1
2,X11a1,10-27-2017,10-27-2017,1
2,X11a1,10-30-2017,10-30-2017,1
2,X11a1,10-31-2017,10-31-2017,1
2,X11a1,11-01-2017,11-01-2017,1
2,X11a1,11-02-2017,11-02-2017,1
2,X11a1,11-03-2017,11-03-2017,1
2,X11a1,11-06-2017,11-06-2017,1
2,X11a1,11-07-2017,11-07-2017,1
2,X11a1,11-08-2017,11-08-2017,1
2,X11a1,11-09-2017,11-09-2017,1
2,X11a1,11-10-2017,11-10-2017,1
2,X11a1,11-13-2017,11-13-2017,1
2,X11a1,11-14-2017,11-14-2017,1
2,X11a1,11-15-2017,11-15-2017,1
2,X11a1,11-16-2017,11-16-2017,1
2,X11a1,11-17-2017,11-17-2017,1
2,X11a1,11-20-2017,11-20-2017,1
2,X11a1,10-25-2017,10-25-2017,1
2,X11a1,10-26-2017,10-26-2017,1
2,X11a1,10-27-2017,10-27-2017,1
2,X11a1,10-30-2017,10-30-2017,1
2,X11a1,10-31-2017,10-31-2017,1
2,X11a1,11-01-2017,11-01-2017,1
2,X11a1,11-02-2017,11-02-2017,1
2,X11a1,11-03-2017,11-03-2017,1
2,X11a1,11-06-2017,11-06-2017,1
2,X11a1,11-07-2017,11-07-2017,1
2,X11a1,11-08-2017,11-08-2017,1
2,X11a1,11-09-2017,11-09-2017,1
2,X11a1,11-10-2017,11-10-2017,1
2,X11a1,11-13-2017,11-13-2017,1
2,X11a1,11-14-2017,11-14-2017,1
2,X11a1,11-15-2017,11-15-2017,1
2,X11a1,11-16-2017,11-16-2017,1
2,X11a1,11-17-2017,11-17-2017,1
2,X11a1,11-20-2017,11-20-2017,1
2,X11a8,11-01-2017,11-01-2017,0.5
2,X11aa,11-02-2017,11-02-2017,0.5
2,X11aa,11-16-2017,11-16-2017,1
2,X11a1,11-15-2017,11-15-2017,1
2,X11a1,11-16-2017,11-16-2017,1
2,X11a1,11-17-2017,11-17-2017,1
2,X11a1,10-25-2017,10-25-2017,1
2,X11a1,11-20-2017,11-20-2017,1
2,X11a8,11-13-2017,11-13-2017,1
2,X11aa,11-20-2017,11-20-2017,1
2,X1111,10-24-2017,10-24-2017,0.5
2,X1111,10-25-2017,10-25-2017,0.5
2,X1111,10-27-2017,10-27-2017,1
2,X1111,11-08-2017,11-08-2017,0.5
2,X1111,11-10-2017,11-10-2017,0.5
2,X1111,11-13-2017,11-13-2017,1
2,X1111,11-17-2017,11-17-2017,1
2,1aa1a,10-09-2017,10-09-2017,-1
2,1aa11,10-18-2017,10-18-2017,-1
2,1aa11,10-13-2017,10-13-2017,-1
2,1aa19,10-16-2017,10-16-2017,-1
2,1aa19,10-17-2017,10-17-2017,-1
2,1aa19,10-18-2017,10-18-2017,-1
2,1aa1a,10-06-2017,10-06-2017,-1
2,1aa1a,10-09-2017,10-09-2017,-1
2,1aa91,09-29-2017,09-29-2017,-1
2,1aa91,10-18-2017,10-18-2017,-0.5
2,1a1aa,10-17-2017,10-17-2017,-1
2,1a1aa,10-18-2017,10-18-2017,-1
2,1a111,10-18-2017,10-18-2017,-1
2,1a111,10-17-2017,10-17-2017,-1
2,1a111,10-18-2017,10-18-2017,-1
2,1a111,10-17-2017,10-17-2017,-1
2,1a111,10-18-2017,10-18-2017,-1
2,1a11a,10-16-2017,10-16-2017,-1
2,1a11a,10-17-2017,10-17-2017,-1
2,1a181,09-26-2017,09-26-2017,-1
2,1a189,10-17-2017,10-17-2017,-1
2,1a189,10-18-2017,10-18-2017,-1
2,1a18a,10-18-2017,10-18-2017,-1
2,1a189,10-17-2017,10-17-2017,-0.5
2,1a189,10-18-2017,10-18-2017,-0.5
2,M1119,09-27-2017,09-27-2017,-0.5
2,M1a1a,10-12-2017,10-12-2017,-1
2,M1a81,10-03-2017,10-03-2017,-1
2,M1a81,10-09-2017,10-09-2017,-0.5
2,M111a,10-12-2017,10-12-2017,-1
2,M111a,10-13-2017,10-13-2017,-0.5
2,M11a1,10-13-2017,10-13-2017,-1
2,P1111,09-28-2017,09-28-2017,-0.5
2,P1191,10-11-2017,10-11-2017,-1
2,P1191,10-18-2017,10-18-2017,-1
2,X1181,10-12-2017,10-12-2017,-1
2,X1181,10-13-2017,10-13-2017,-1
2,X1181,10-16-2017,10-16-2017,-1
2,X1181,10-17-2017,10-17-2017,-1
2,X1181,10-18-2017,10-18-2017,-1
2,X1181,09-21-2017,09-21-2017,-1
2,X1181,09-22-2017,09-22-2017,-1
2,X1181,09-25-2017,09-25-2017,-1
2,X1181,09-26-2017,09-26-2017,-1
2,X1181,09-27-2017,09-27-2017,-1
2,X11aa,10-11-2017,10-11-2017,-1
2,X1119,10-06-2017,10-06-2017,-1
2,X1119,10-12-2017,10-12-2017,-1
2,X1119,10-13-2017,10-13-2017,-1
2,X1119,10-16-2017,10-16-2017,-1
2,X1119,10-17-2017,10-17-2017,-1
2,X1119,10-18-2017,10-18-2017,-1
2,X118a,09-21-2017,09-21-2017,-0.5
2,X118a,09-26-2017,09-26-2017,-0.5
2,X118a,09-29-2017,09-29-2017,-1
2,X118a,10-04-2017,10-04-2017,-0.5
2,X118a,10-09-2017,10-09-2017,-0.5
2,X118a,10-10-2017,10-10-2017,-0.5
2,X118a,10-11-2017,10-11-2017,-1
2,X118a,10-16-2017,10-16-2017,-1
2,X118a,10-17-2017,10-17-2017,-1
2,X118a,10-18-2017,10-18-2017,-1
2,X1199,10-11-2017,10-11-2017,-0.5
2,X11a1,10-16-2017,10-16-2017,-1
2,X11a1,10-17-2017,10-17-2017,-1
2,X11a1,10-18-2017,10-18-2017,-1
2,X11aa,10-18-2017,10-18-2017,-1
2,X118a,09-29-2017,09-29-2017,-1
2,X118a,10-16-2017,10-16-2017,-1
2,X118a,10-18-2017,10-18-2017,-1
2,X11aa,10-03-2017,10-03-2017,-0.5
2,X1111,10-16-2017,10-16-2017,-1
2,X1111,10-17-2017,10-17-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X111a,10-18-2017,10-18-2017,-1
2,X1119,10-17-2017,10-17-2017,-1
2,X1119,10-18-2017,10-18-2017,-1
2,X11a8,10-06-2017,10-06-2017,-1
2,X11a8,10-09-2017,10-09-2017,-1
2,X1811,10-12-2017,10-12-2017,-1
2,X1911,10-16-2017,10-16-2017,-1
2,X1911,10-17-2017,10-17-2017,-1
2,X1911,10-18-2017,10-18-2017,-1
2,X1919,10-12-2017,10-12-2017,-1
2,X1919,10-13-2017,10-13-2017,-1
2,X1919,10-17-2017,10-17-2017,-1
2,X1aa1,10-17-2017,10-17-2017,-1
2,X1a11,10-11-2017,10-11-2017,-1
2,X1a18,10-13-2017,10-13-2017,-1
2,X1a18,10-16-2017,10-16-2017,-1
2,X1a18,10-17-2017,10-17-2017,-1
2,X1a89,10-17-2017,10-17-2017,-1
2,X1a89,10-18-2017,10-18-2017,-1
2,X1aaa,10-03-2017,10-03-2017,-1
2,X1a19,10-11-2017,10-11-2017,-1
2,X1a19,10-12-2017,10-12-2017,-1
2,X1a11,10-18-2017,10-18-2017,-1
2,X1a11,10-16-2017,10-16-2017,-1
2,X1a11,10-17-2017,10-17-2017,-1
2,X1aa1,10-16-2017,10-16-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X1119,10-17-2017,10-17-2017,-1
2,X1119,10-18-2017,10-18-2017,-1
2,X11a8,10-12-2017,10-12-2017,-0.5
2,X1111,10-16-2017,10-16-2017,-1
2,X1111,10-17-2017,10-17-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X1111,10-17-2017,10-17-2017,-0.5
2,X1111,10-18-2017,10-18-2017,-1
2,X1181,10-18-2017,10-18-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X1118,10-18-2017,10-18-2017,-1
2,X1191,10-18-2017,10-18-2017,-1
2,X11a1,10-17-2017,10-17-2017,-1
2,X11a1,10-18-2017,10-18-2017,-1
2,X1111,10-16-2017,10-16-2017,-1
2,X1111,10-17-2017,10-17-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X1119,09-29-2017,09-29-2017,-0.5
2,X1118,10-18-2017,10-18-2017,-0.5
2,X1111,10-17-2017,10-17-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X11aa,09-21-2017,09-21-2017,-0.5
2,X11aa,09-26-2017,09-26-2017,-0.5
2,X11aa,10-16-2017,10-16-2017,-1
2,X11aa,10-17-2017,10-17-2017,-1
2,X11aa,10-18-2017,10-18-2017,-1
2,X11a1,10-13-2017,10-13-2017,-1
2,X11a1,10-16-2017,10-16-2017,-1
2,X11a1,10-17-2017,10-17-2017,-1
2,X11a1,10-18-2017,10-18-2017,-1
2,X1111,10-10-2017,10-10-2017,-1
2,X1111,10-11-2017,10-11-2017,-1
2,X1111,10-18-2017,10-18-2017,-0.5
2,X1111,10-16-2017,10-16-2017,-1
2,X1189,10-06-2017,10-06-2017,-1
2,X11a1,10-16-2017,10-16-2017,-1
2,X11a1,10-17-2017,10-17-2017,-1
2,X11a1,10-18-2017,10-18-2017,-1
2,X11a8,10-16-2017,10-16-2017,-1
2,X11a8,10-17-2017,10-17-2017,-1
2,X11a8,10-18-2017,10-18-2017,-1
2,X1111,10-18-2017,10-18-2017,-1
2,X11a1,10-18-2017,10-18-2017,-1
2,X1818,10-17-2017,10-17-2017,-1
2,X1818,10-18-2017,10-18-2017,-1
2,X1811,10-18-2017,10-18-2017,-1
2,X1818,10-16-2017,10-16-2017,-1
2,X1818,10-17-2017,10-17-2017,-1
2,X1911,10-16-2017,10-16-2017,-1
2,X1911,10-17-2017,10-17-2017,-1
2,X1911,10-18-2017,10-18-2017,-1
2,X1911,10-17-2017,10-17-2017,-1
2,X1918,10-17-2017,10-17-2017,-0.5
2,X1911,09-28-2017,09-28-2017,-0.5
2,X1911,09-29-2017,09-29-2017,-1
2,X1991,10-13-2017,10-13-2017,-1
2,X19a1,10-12-2017,10-12-2017,-0.5
2,X1aa8,10-18-2017,10-18-2017,-1
2,X1a11,10-05-2017,10-05-2017,-1
2,X1a11,10-11-2017,10-11-2017,-1
2,X1a11,10-16-2017,10-16-2017,-1
2,X1a11,10-17-2017,10-17-2017,-1
2,X1a11,10-18-2017,10-18-2017,-1
2,X1a11,10-17-2017,10-17-2017,-1
2,X1a81,10-16-2017,10-16-2017,-1
2,X1a81,10-17-2017,10-17-2017,-1
2,X1a81,10-18-2017,10-18-2017,-1
2,X1a8a,10-16-2017,10-16-2017,-1
2,X1aa1,10-18-2017,10-18-2017,-1
2,X1a11,10-16-2017,10-16-2017,-1
2,X1a11,10-17-2017,10-17-2017,-1
2,X1a11,10-18-2017,10-18-2017,-1
2,X1a11,10-18-2017,10-18-2017,-1
2,X1a11,10-18-2017,10-18-2017,-1
2,X1a11,10-18-2017,10-18-2017,-1
2,X1a11,09-26-2017,09-26-2017,-1
2,X1a11,09-27-2017,09-27-2017,-1
2,X1a11,09-28-2017,09-28-2017,-1
2,X1a11,09-29-2017,09-29-2017,-1
2,X1a11,10-17-2017,10-17-2017,-1
2,X1a11,10-17-2017,10-17-2017,-1
2,X1a8a,10-16-2017,10-16-2017,-1
2,X1a8a,10-17-2017,10-17-2017,-1
2,X1a8a,10-18-2017,10-18-2017,-1
2,X1a91,10-06-2017,10-06-2017,-1
2,X1aa1,10-18-2017,10-18-2017,-1
2,X11aa,10-18-2017,10-18-2017,-0.5
2,X11a1,10-17-2017,10-17-2017,-1
2,X11a1,10-18-2017,10-18-2017,-1
2,X1119,10-13-2017,10-13-2017,-1
2,X1119,10-16-2017,10-16-2017,-1
2,X1119,10-17-2017,10-17-2017,-1
2,X1119,10-18-2017,10-18-2017,-1
2,X1119,10-05-2017,10-05-2017,-1
2,X1119,10-18-2017,10-18-2017,-1
2,X1189,10-17-2017,10-17-2017,-1
2,X119a,10-16-2017,10-16-2017,-0.5
2,X119a,10-17-2017,10-17-2017,-1
2,X119a,10-18-2017,10-18-2017,-1
2,X1199,10-11-2017,10-11-2017,-0.5
2,X11a1,10-04-2017,10-04-2017,-1
2,X111a,09-21-2017,09-21-2017,-1
2,X11a1,09-27-2017,09-27-2017,-1
2,X11a1,10-13-2017,10-13-2017,-1
2,X11aa,10-13-2017,10-13-2017,-0.5
